Name,HighwayType,GeometryType,Lat,Lon,City
Ira Needles Boulevard,secondary,LineString,43.413537000000005,-80.55218327272729,Kitchener
Elm Ridge Drive,residential,LineString,43.42401947878789,-80.52440925151515,Kitchener
Autumn Hill Crescent,residential,LineString,43.422799373333326,-80.53204907000001,Kitchener
Blue Spruce Court,residential,LineString,43.4222191875,-80.53322907500001,Kitchener
Rolling Meadows Drive,residential,LineString,43.420330125,-80.54755505624999,Kitchener
Connelly Drive,residential,LineString,43.42355177368422,-80.54455953157895,Kitchener
Westview Crescent,residential,LineString,43.421666550000005,-80.54327710000003,Kitchener
Tradewinds Place,residential,LineString,43.41907544166667,-80.54885795833336,Kitchener
Forest Heights Community Trail,path,LineString,43.41344970961538,-80.53172705769231,Kitchener
Old Park Lane,residential,LineString,43.414383275,-80.5485778875,Kitchener
Old Maple Lane,residential,LineString,43.4163313875,-80.5507347625,Kitchener
Highview Drive,residential,LineString,43.41484626,-80.55245356,Kitchener
Windermere Court,residential,LineString,43.42144247142857,-80.54704188571428,Kitchener
Putnam Place,residential,LineString,43.420800375000006,-80.5408789,Kitchener
Putnam Place,residential,LineString,43.42061764736843,-80.54131467368421,Kitchener
Windermere Court,residential,LineString,43.42137470526317,-80.54778665263159,Kitchener
Tradewinds Place,residential,LineString,43.41962402,-80.54956114666669,Kitchener
Charnwood Court,residential,LineString,43.4233865875,-80.5309313625,Kitchener
Charnwood Court,residential,LineString,43.424040025000004,-80.53124009166666,Kitchener
Cricket Hollow,residential,LineString,43.42346646666667,-80.53260736666665,Kitchener
Cricket Hollow,residential,LineString,43.423691409090914,-80.53250747272727,Kitchener
Trailwood Crescent,residential,LineString,43.41855648,-80.54751237999999,Kitchener
Trailwood Crescent,residential,LineString,43.41823153333333,-80.54810766666667,Kitchener
Trailwood Crescent,residential,LineString,43.418117220000006,-80.54625268999999,Kitchener
Timberlane Crescent,residential,LineString,43.41890983333334,-80.54477537083334,Kitchener
Cumberland Place,residential,LineString,43.42165811428572,-80.54563954285716,Kitchener
Cumberland Place,residential,LineString,43.421195815000004,-80.54516813500001,Kitchener
Westview Court,residential,LineString,43.421546375,-80.5423389,Kitchener
Highland Road West,secondary,LineString,43.422009881818184,-80.55622548181817,Kitchener
Stonehenge Place,residential,LineString,43.41099431538461,-80.54254875769229,Kitchener
Stonehenge Place,residential,LineString,43.411494760000004,-80.539187765,Kitchener
Blackwell Drive,residential,LineString,43.4272337882353,-80.53282007647057,Kitchener
Montana Crescent,residential,LineString,43.426247922222224,-80.53735038333335,Kitchener
Lanark Crescent,residential,LineString,43.42505681000001,-80.53572637,Kitchener
Claycroft Crescent,residential,LineString,43.42406410666667,-80.53699359000002,Kitchener
Sprucedale Crescent,residential,LineString,43.42266824285714,-80.53889155,Kitchener
Summerhill Crescent,residential,LineString,43.42355971538461,-80.5419764923077,Kitchener
West Acres Crescent,residential,LineString,43.42447146666667,-80.54219649333332,Kitchener
Old Forest Crescent,residential,LineString,43.415629275,-80.53949961500001,Kitchener
Highway 7/8,motorway,LineString,43.409312299999996,-80.54829585,Wilmot
Conestoga Parkway,motorway,LineString,43.40966400000001,-80.54307681428573,Kitchener
Connaught Place,residential,LineString,43.43364460714285,-80.45722528571427,Kitchener
